verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,background,foreground,border
true,cultures:europe:argaric_culture,cultures-europe,-2200,-1300,Culture d'El Argar,Argaric culture,https://fr.wikipedia.org/wiki/Culture_d'El_Argar,https://en.wikipedia.org/wiki/Argaric_culture,,"Culture of southern Spain, 2200–1550 BCE",oklch(62.3% 0.214 259.815),,
true,cultures:europe:straubing_culture,cultures-europe,-2150,-1700,Culture de Straubing,Straubing culture,https://en.wikipedia.org/wiki/Straubing_culture,https://en.wikipedia.org/wiki/Straubing_culture,,Bronze Age archaeological culture in Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:ottom%c3%a1ny_culture,cultures-europe,-2100,-1400,Culture d’Ottomány,Ottomány culture,https://en.wikipedia.org/wiki/Ottom%C3%A1ny_culture,https://en.wikipedia.org/wiki/Ottom%C3%A1ny_culture,,Early Bronze Age culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:vatya_culture,cultures-europe,-2000,-1400,Culture de Vatya,Vatya culture,https://en.wikipedia.org/wiki/Vatya_culture,https://en.wikipedia.org/wiki/Vatya_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:pelasgians,cultures-europe,-2000,-600,Pélasges,Pelasgians,https://fr.wikipedia.org/wiki/P%C3%A9lasges,https://en.wikipedia.org/wiki/Pelasgians,premiers habitants de la Grèce,Classical Greek term for pre-Greeks,oklch(62.3% 0.214 259.815),,
true,cultures:europe:encrusted_pottery_culture,cultures-europe,-2000,-1400,Culture à poterie incrustée,Encrusted Pottery culture,https://en.wikipedia.org/wiki/Encrusted_Pottery_culture,https://en.wikipedia.org/wiki/Encrusted_Pottery_culture,,Bronze Age archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:hatvan_culture,cultures-europe,-2000,-1800,Hatvan culture,Hatvan culture,https://en.wikipedia.org/wiki/Hatvan_culture,https://en.wikipedia.org/wiki/Hatvan_culture,,Hungarian Bronze Age archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:monteoru_culture,cultures-europe,-2400,-1600,Culture de Monteoru,Monteoru culture,https://en.wikipedia.org/wiki/Monteoru_culture,https://en.wikipedia.org/wiki/Monteoru_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:ronaldsway_culture,cultures-europe,-2200,-1900,Culture de Ronaldsway,Ronaldsway culture,https://en.wikipedia.org/wiki/Ronaldsway_culture,https://en.wikipedia.org/wiki/Ronaldsway_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:vatin_culture,cultures-europe,-2000,-1500,Culture de Vatin,Vatin culture,https://en.wikipedia.org/wiki/Vatin_culture,https://en.wikipedia.org/wiki/Vatin_culture,,Archaeological culture in Serbia,oklch(62.3% 0.214 259.815),,
true,cultures:europe:wessex_culture,cultures-europe,-2000,-1400,Culture de Wessex,Wessex culture,https://en.wikipedia.org/wiki/Wessex_culture,https://en.wikipedia.org/wiki/Wessex_culture,,Bronze Age culture in Britain,oklch(62.3% 0.214 259.815),,
true,cultures:europe:srubnaya_culture,cultures-europe,-1900,-1200,Culture Sroubna,Srubnaya culture,https://fr.wikipedia.org/wiki/Culture_Sroubna,https://en.wikipedia.org/wiki/Srubnaya_culture,,Archaeological culture in Eastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:asbestos-ceramic,cultures-europe,-5000,200,Céramique à l'amiante,Asbestos-ceramic,https://en.wikipedia.org/wiki/Asbestos-ceramic,https://en.wikipedia.org/wiki/Asbestos-ceramic,,Ancient Fennoscandian type of pottery,oklch(62.3% 0.214 259.815),,
true,cultures:europe:netted_ware_culture,cultures-europe,-1900,-500,Culture à Céramique à filet,Netted Ware culture,https://en.wikipedia.org/wiki/Netted_Ware_culture,https://en.wikipedia.org/wiki/Netted_Ware_culture,,Archaeological culture in northeastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:south-western_iberian_bronze,cultures-europe,-1900,-700,Bronze du Sud-Ouest ibérique,South-Western Iberian Bronze,https://en.wikipedia.org/wiki/South-Western_Iberian_Bronze,https://en.wikipedia.org/wiki/South-Western_Iberian_Bronze,,Bronze Age culture in Portugal,oklch(62.3% 0.214 259.815),,
true,cultures:europe:nuragic_civilization,cultures-europe,-1800,-238,Culture nuragique,Nuragic civilization,https://fr.wikipedia.org/wiki/Culture_nuragique,https://en.wikipedia.org/wiki/Nuragic_civilization,"culture de l'âge du bronze vers le XVIIIe siècle av. J.-C. en Sardaigne, Italie",Archaeological culture in Sardinia,oklch(62.3% 0.214 259.815),,
true,cultures:europe:torrean_civilization,cultures-europe,-1500,-1000,Culture torréenne,Torrean civilization,https://fr.wikipedia.org/wiki/Culture_torr%C3%A9enne,https://en.wikipedia.org/wiki/Torrean_civilization,culture préhistorique en Corse,Bronze Age civilization,oklch(62.3% 0.214 259.815),,
true,cultures:europe:bonnanaro_culture,cultures-europe,-1800,-1600,Culture de Bonnanaro,Bonnanaro culture,https://fr.wikipedia.org/wiki/Culture_de_Bonnanaro,https://en.wikipedia.org/wiki/Bonnanaro_culture,,"2nd millenium BCE, protohistoric Archaeological culture in Sardinia",oklch(62.3% 0.214 259.815),,
true,cultures:europe:elp_culture,cultures-europe,-1800,-800,Culture d'Elp,Elp culture,https://en.wikipedia.org/wiki/Elp_culture,https://en.wikipedia.org/wiki/Elp_culture,,Archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:hilversum_culture,cultures-europe,-1800,-1100,Culture d'Hilversum,Hilversum culture,https://fr.wikipedia.org/wiki/Culture_d'Hilversum,https://en.wikipedia.org/wiki/Hilversum_culture,,Prehistoric culture in Bronze age,oklch(62.3% 0.214 259.815),,
true,cultures:europe:castellieri_culture,cultures-europe,-1900,-200,Culture des castellieri,Castellieri culture,https://fr.wikipedia.org/wiki/Castelliere,https://en.wikipedia.org/wiki/Castellieri_culture,,Ancient culture in the northern Adriatic during the Bronze and Iron Ages,oklch(62.3% 0.214 259.815),,
true,cultures:europe:pyrenean_bronze,cultures-europe,-2300,-1650,Bronze pyrénéen,Pyrenean Bronze,https://en.wikipedia.org/wiki/Pyrenean_Bronze,https://en.wikipedia.org/wiki/Pyrenean_Bronze,,Archeological culture in Western Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:mad%27arovce_culture,cultures-europe,-1750,-1500,Culture de Mad’arovce,Mad'arovce culture,https://en.wikipedia.org/wiki/Mad%27arovce_culture,https://en.wikipedia.org/wiki/Mad%27arovce_culture,,Bronze Age culture in Slovakia,oklch(62.3% 0.214 259.815),,
true,cultures:europe:mycenaean_greece,cultures-europe,-1650,-1200,Civilisation mycénienne,Mycenaean Greece,https://fr.wikipedia.org/wiki/Civilisation_mycénienne,https://en.wikipedia.org/wiki/Mycenaean_Greece,civilisation grecque de la fin de l'âge du bronze,Late Bronze Age Greek civilization,oklch(62.3% 0.214 259.815),,
true,cultures:europe:las_cogotas,cultures-europe,-1800,-1150,Cogotas,Las Cogotas,https://fr.wikipedia.org/wiki/Cogotas,https://en.wikipedia.org/wiki/Las_Cogotas,,"Archaeological site in Cardeñosa, Spain",oklch(62.3% 0.214 259.815),,
true,cultures:europe:nordic_bronze_age,cultures-europe,-1800,-500,Âge du bronze danois,Nordic Bronze Age,https://fr.wikipedia.org/wiki/Âge_du_bronze_danois,https://en.wikipedia.org/wiki/Nordic_Bronze_Age,âge du bronze en Scandinavie,Archaeological period in Northern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:terramare_culture,cultures-europe,-1700,-1150,Terramare,Terramare culture,https://fr.wikipedia.org/wiki/Terramare,https://en.wikipedia.org/wiki/Terramare_culture,culture archéologique,Archaeological culture in Northern Italy,oklch(62.3% 0.214 259.815),,
true,cultures:europe:carpathian_tumuli_culture,cultures-europe,-200,300,Culture des Tumulus des Carpates,Carpathian Tumuli culture,https://en.wikipedia.org/wiki/Carpathian_Tumuli_culture,https://en.wikipedia.org/wiki/Carpathian_Tumuli_culture,,Archaeological culture in the Carpathian Mountains,oklch(62.3% 0.214 259.815),,
true,cultures:europe:deverel%e2%80%93rimbury_culture,cultures-europe,-1400,-1200,Culture Deverel-Rimbury,Deverel–Rimbury culture,https://en.wikipedia.org/wiki/Deverel%E2%80%93Rimbury_culture,https://en.wikipedia.org/wiki/Deverel%E2%80%93Rimbury_culture,,Archaeological culture in England,oklch(62.3% 0.214 259.815),,
true,cultures:europe:glasinac-mati_culture,cultures-europe,-1600,-300,Culture de Glasinac,Glasinac-Mati culture,https://fr.wikipedia.org/wiki/Culture_de_Glasinac,https://en.wikipedia.org/wiki/Glasinac-Mati_culture,,undefined,oklch(62.3% 0.214 259.815),,
