id,group,type,name_fr,name_en,start,end,circa,wiki_fr,wiki_en,credits_url,credits_attribution,cover,background,foreground,border
1765209128-45,pterosaurs,range,Camposipterus,Camposipterus,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Camposipterus,https://en.wikipedia.org/wiki/Camposipterus,https://www.pteros.com/pterosaurs/camposipterus.html,Pteros,https://pteros-img.imgix.net/camposipterus_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-46,pterosaurs,range,Campylognathoides,Campylognathoides,-201400000,-174700000,true,https://fr.wikipedia.org/wiki/Campylognathoides,https://en.wikipedia.org/wiki/Campylognathoides,https://www.pteros.com/pterosaurs/campylognathoides.html,Pteros,https://pteros-img.imgix.net/campylognathoides_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-47,pterosaurs,range,Carniadactylus,Carniadactylus,-237000000,-201400000,true,https://fr.wikipedia.org/wiki/Carniadactylus,https://en.wikipedia.org/wiki/Carniadactylus,https://www.pteros.com/pterosaurs/carniadactylus.html,Pteros,https://pteros-img.imgix.net/carniadactylus_fabrizio-de-rossi.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-48,pterosaurs,range,Cathayopterus,Cathayopterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Cathayopterus,https://en.wikipedia.org/wiki/Cathayopterus,https://www.pteros.com/pterosaurs/cathayopterus.html,Pteros,https://pteros-img.imgix.net/cathayopterus_midiaou-diallo.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-49,pterosaurs,range,Caulkicephalus,Caulkicephalus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Caulkicephalus,https://en.wikipedia.org/wiki/Caulkicephalus,https://www.pteros.com/pterosaurs/caulkicephalus.html,Pteros,https://pteros-img.imgix.net/caulkicephalus-trimicrodon_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-50,pterosaurs,range,Caupedactylus,Caupedactylus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Caupedactylus,https://en.wikipedia.org/wiki/Caupedactylus,https://www.pteros.com/pterosaurs/caupedactylus.html,Pteros,https://pteros-img.imgix.net/caupedactylus_fabrizio-de-rossi.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-51,pterosaurs,range,Caviramus,Caviramus,-237000000,-201400000,true,https://fr.wikipedia.org/wiki/Caviramus,https://en.wikipedia.org/wiki/Caviramus,https://www.pteros.com/pterosaurs/caviramus.html,Pteros,https://pteros-img.imgix.net/caviramus_andrey-atuchin.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-52,pterosaurs,range,Cearadactylus,Cearadactylus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Cearadactylus,https://en.wikipedia.org/wiki/Cearadactylus,https://www.pteros.com/pterosaurs/cearadactylus.html,Pteros,https://pteros-img.imgix.net/cearadactylus_oliver-demuth.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-53,pterosaurs,range,Changchengopterus,Changchengopterus,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Changchengopterus,https://en.wikipedia.org/wiki/Changchengopterus,https://www.pteros.com/pterosaurs/changchengopterus.html,Pteros,https://pteros-img.imgix.net/changchengopterus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-54,pterosaurs,range,Chaoyangopterus,Chaoyangopterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Chaoyangopterus,https://en.wikipedia.org/wiki/Chaoyangopterus,https://www.pteros.com/pterosaurs/chaoyangopterus.html,Pteros,https://pteros-img.imgix.net/chaoyangopterus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
