id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,type,background,foreground,border
ischart:Tortonian,geology-age,-11630000,-7246000,Tortonien,Tortonian,https://fr.wikipedia.org/wiki/Tortonien,https://en.wikipedia.org/wiki/Tortonian,A time period from 11.63 to 7.246 million years ago,A time period from 11.63 to 7.246 million years ago,,#FFFF66,#000,#000
ischart:Messinian,geology-age,-7246000,-5333000,Messinien,Messinian,https://fr.wikipedia.org/wiki/Messinien,https://en.wikipedia.org/wiki/Messinian,A time period from 7.246 to 5.333 million years ago,A time period from 7.246 to 5.333 million years ago,,#FFFF73,#000,#000
ischart:Zanclean,geology-age,-5333000,-3600000,Zancléen,Zanclean,https://fr.wikipedia.org/wiki/Zancléen,https://en.wikipedia.org/wiki/Zanclean,A time period from 5.333 to 3.600 million years ago,A time period from 5.333 to 3.600 million years ago,,#FFFFB3,#000,#000
ischart:Pliocene,geology-epoch,-5333000,-2580000,Pliocène,Pliocene,https://fr.wikipedia.org/wiki/Pliocène,https://en.wikipedia.org/wiki/Pliocene,A time period from 5.333 to 2.58 million years ago,A time period from 5.333 to 2.58 million years ago,,#FFFF99,#000,#000
ischart:Piacenzian,geology-age,-3600000,-2580000,Piacenzien,Piacenzian,https://fr.wikipedia.org/wiki/Piacenzien,https://en.wikipedia.org/wiki/Piacenzian,A time period from 3.600 to 2.58 million years ago,A time period from 3.600 to 2.58 million years ago,,#FFFFBF,#000,#000
ischart:Gelasian,geology-age,-2580000,-1800000,Gelasien,Gelasian,https://fr.wikipedia.org/wiki/Gelasien,https://en.wikipedia.org/wiki/Gelasian,A time period from 2.58 to 1.80 million years ago,A time period from 2.58 to 1.80 million years ago,,#FFEDB3,#000,#000
ischart:Pleistocene,geology-epoch,-2580000,-11700,Pléistocène,Pleistocene,https://fr.wikipedia.org/wiki/Pléistocène,https://en.wikipedia.org/wiki/Pleistocene,A time period from 2.58 to 0.0117 million years ago,A time period from 2.58 to 0.0117 million years ago,,#FFEFAF,#000,#000
ischart:Quaternary,geology-period,-2580000,0,Quaternaire,Quaternary,https://fr.wikipedia.org/wiki/Quaternaire,https://en.wikipedia.org/wiki/Quaternary,A time period from 2.58 million years ago to the present,A time period from 2.58 million years ago to the present,,#F9F97F,#000,#000
ischart:Calabrian,geology-age,-1800000,-774000,Calabrien,Calabrian,https://fr.wikipedia.org/wiki/Calabrien,https://en.wikipedia.org/wiki/Calabrian_stage,A time period from 1.80 to 0.774 million years ago,A time period from 1.80 to 0.774 million years ago,,#FFF2BA,#000,#000
ischart:Chibanian,geology-age,-774000,-129000,Chibanian,Chibanian,https://fr.wikipedia.org/wiki/Chibanien,https://en.wikipedia.org/wiki/Chibanian,A time period from 0.774 to 0.129 million years ago,A time period from 0.774 to 0.129 million years ago,,#FFF2C7,#000,#000
ischart:UpperPleistocene,geology-age,-129000,-11700,Pléistocène tardif,Late,https://fr.wikipedia.org/wiki/Pléistocène_supérieur,https://en.wikipedia.org/wiki/Late_Pleistocene,A time period from 0.129 to 0.0117 million years ago,A time period from 0.129 to 0.0117 million years ago,,#FFF2D3,#000,#000
ischart:Greenlandian,geology-age,-11700,-8200,Greenlandian,Greenlandian,https://fr.wikipedia.org/wiki/Greenlandien,https://en.wikipedia.org/wiki/Greenlandian,A time period from 0.0117 to 0.0082 million years ago,A time period from 0.0117 to 0.0082 million years ago,,#FEECDB,#000,#000
ischart:Holocene,geology-epoch,-11700,0,Holocène,Holocene,https://fr.wikipedia.org/wiki/Holocène,https://en.wikipedia.org/wiki/Holocene,A time period from 0.0117 million years ago to the present,A time period from 0.0117 million years ago to the present,,#FEEBD2,#000,#000
ischart:Northgrippian,geology-age,-8200,-4200,Northgrippian,Northgrippian,https://fr.wikipedia.org/wiki/Northgrippien,https://en.wikipedia.org/wiki/Northgrippian,A time period from 0.0082 to 0.0042 million years ago,A time period from 0.0082 to 0.0042 million years ago,,#FDECE4,#000,#000
ischart:Meghalayan,geology-age,-4200,0,Meghalayan,Meghalayan,https://fr.wikipedia.org/wiki/Meghalayan,https://en.wikipedia.org/wiki/Meghalayan,A time period from 0.0042 million years ago to the present,A time period from 0.0042 million years ago to the present,,#FDEDEC,#000,"#000
"
